Código;Procedimento 
303170107;TRATAMENTO EM PSIQUIATRIA EM HOSPITAL DIA
303170115;TRATAMENTO A PACIENTES QUE FAZEM USO DE COCAÍNA E DERIVADOS EM HOSPITAL DE REFERÊNCIA PARA ATENÇÃO INTEGRAL AOS USUÁRIOS DE ÁLCOOL E OUTRAS DROGAS- POR DIA
303170123;TRATAMENTO DE PACIENTES QUE FAZEM USO DE COCAÍNA E DERIVADOS COM COMORBIDADE EM HOSPITAL DE REFERÊNCIA PARA ATENÇÃO INTEGRAL AOS USUÁRIOS DE ÁLCOOL E OUTRAS DROGAS - POR DIA
303180013;TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS
303180030;TRATAMENTO DE AFECÇÕES DO APARELHO DIGESTIVO EM HIV/AIDS
303180048;TRATAMENTO DE AFECÇÕES DO SISTEMA NERVOSO EM HIV/AIDS
303180056;TRATAMENTO DE AFECÇÕES DO SISTEMA RESPIRATÓRIO EM HIV/AIDS
303180064;TRATAMENTO DE DOENÇAS DISSEMINADAS EM AIDS
303180072;TRATAMENTO DE HIV / AIDS 
303190019;TRATAMENTO EM REABILITACAO 
304010049;BRAQUITERAPIA
304010057;BRAQUITERAPIA COM FIOS DE IRIDIUM
304010065;BRAQUITERAPIA COM IODO 125 / OURO 198
304010111;INTERNACAO P/ RADIOTERAPIA EXTERNA (COBALTOTERAPIA / ACELERADOR LINEAR)
304010162;MOLDAGEM EM COLO E/OU CORPO DO UTERO
304080020;INTERNAÇÃO P/ QUIMIOTERAPIA DE ADMINISTRAÇÃO CONTÍNUA
304080039;INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS
304080047;QUIMIOTERAPIA INTRA-ARTERIAL
304090018;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE  (150 MCI)
304090026;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (100 MCI)
304090034;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (200 MCI)
304090042;IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (250 MCI)
304100013;TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
304100021;TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
305010034;DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS
305010042;HEMODIALISE CONTINUA
305010131;HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO
305010140;HEMOFILTRACAO
305010158;HEMOFILTRACAO CONTINUA
305010174;TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)
305020013;TRATAMENTO DA PIELONEFRITE
305020021;TRATAMENTO DE CALCULOSE RENAL
305020030;TRATAMENTO DE HIPERTENSAO NEFROGENA E RENOVASCULAR
305020048;TRATAMENTO DE INSUFICIENCIA RENAL AGUDA
305020056;TRATAMENTO DE INSUFICIENCIA RENAL CRONICA
306020017;AFERESE TERAPEUTICA
306020041;SANGRIA TERAPEUTICA
306020050;TRANSFUSAO DE CONCENTRADO DE GRANULOCITOS
306020068;TRANSFUSAO DE CONCENTRADO DE HEMACIAS
306020076;TRANSFUSAO DE CONCENTRADO DE PLAQUETAS
306020084;TRANSFUSAO DE CRIOPRECIPITADO
306020092;TRANSFUSAO DE PLAQUETAS POR AFERESE
306020106;TRANSFUSAO DE PLASMA FRESCO
306020114;TRANSFUSAO DE PLASMA ISENTO DE CRIOPRECIPITADO
306020122;TRANSFUSAO DE SANGUE / COMPONENTES IRRADIADOS
306020149;TRANSFUSAO DE UNIDADE DE SANGUE TOTAL
306020157;TRANSFUSAO FETAL INTRA-UTERINA
308010019;TRATAMENTO  DE TRAUMATISMOS DE LOCALIZACAO ESPECIFICADA / NAO ESPECIFICADA
308010027;TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
308010035;TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL
308010043;TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO
308020014;HEMODIAFILTRACAO CONTINUA
308020022;TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS
308020030;TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDICINAL
308030010;TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL
308030028;TRATAMENTO DE EFEITOS DE OUTRAS CAUSAS EXTERNAS
308030036;TRATAMENTO DE QUEIMADURAS CORROSOES E GELADURAS
308040015;TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS
309010039;GASTROSTOMIA ENDOSCOPICA PERCUTANEA (INCLUI MATERIAL E SEDACAO ANESTESICA)
309010047;NUTRICAO ENTERAL EM ADULTO
309010063;NUTRICAO ENTERAL EM PEDIATRIA
309010071;NUTRICAO PARENTERAL EM ADULTO
309010098;NUTRICAO PARENTERAL EM PEDIATRIA
309010101;PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)
309060010;INSTALAÇÃO DE CATETER DUPLO LUMEN POR PUNÇÃO
309060036;INSTALACAO DE CATETER MONO LUMEN POR PUNCAO
310010020;ATENDIMENTO AO RECEM-NASCIDO EM SALA DE PARTO
310010039;PARTO NORMAL
310010047;PARTO NORMAL EM GESTACAO DE ALTO RISCO
401010015;CURATIVO  GRAU II  C/ OU S/ DEBRIDAMENTO (POR PACIENTE)
401010040;ELETROCOAGULACAO DE LESAO CUTANEA
401010058;EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA
401010104;INCISAO E DRENAGEM DE ABSCESSO
401020010;ENXERTO COMPOSTO
401020029;ENXERTO DERMO-EPIDERMICO
401020037;ENXERTO LIVRE DE PELE TOTAL
401020045;EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )
401020053;EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO
401020061;EXERESE DE CISTO BRANQUIAL
401020070;EXERESE DE CISTO DERMOIDE
401020088;EXERESE DE CISTO SACRO-COCCIGEO
401020096;EXERESE DE CISTO TIREOGLOSSO
401020100;EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO
401020118;HOMOENXERTIA (ATO CIRURGICO PRE E POS-OPERATORIO)
401020126;TRATAMENTO CIRURGICO DE ESCALPO PARCIAL
401020142;TRATAMENTO CIRURGICO DE HIPERCERATOSE PLANTAR (C/ CORRECAO PLASTICA)
401020150;TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR
401020169;TRATAMENTO EM ESTAGIOS SUBSEQUENTES DE ENXERTIA
402010019;EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL
402010027;PARATIREOIDECTOMIA
402010035;TIREOIDECTOMIA PARCIAL
402010043;TIREOIDECTOMIA TOTAL
402020022;SUPRARRENALECTOMIA UNILATERAL
403010012;CRANIOPLASTIA
403010020;CRANIOTOMIA DESCOMPRESSIVA
403010039;CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR
403010047;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO
403010071;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR)
403010080;DERIVACAO RAQUE-PERITONEAL
403010098;DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
403010101;DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010110;DESCOMPRESSAO DE ORBITA POR DOENÇA OU TRAUMA
403010128;MICROCIRURGIA CEREBRAL ENDOSCOPICA
403010136;MICROCIRURGIA DA SIRINGOMIELIA
403010144;RECONSTRUCAO CRANIANA / CRANIO-FACIAL
403010160;RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010179;RETIRADA DE PLACA DE CRANIOPLASTIA
403010187;REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010195;TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO
403010209;TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COM SUTURA UNICA
403010217;TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA
403010233;TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO
403010241;TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA
403010250;TRATAMENTO CIRURGICO DE FISTULA LIQUORICA RAQUIDIANA
403010268;TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO
403010276;TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL
403010284;TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL
403010292;TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL (COM TECNICA COMPLEMENTAR)
403010306;TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO
403010314;TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO
403010322;TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO
403010330;TRATAMENTO CIRURGICO DE PLATIBASIA E MALFORMACAO DE ARNOLD CHIARI
403010349;TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC
403010357;TREPANACAO CRANIANA  PARA PROPEDEUTICA OU TERAPEUTICA NEUROCIRURGICA (COM TECNICA COMPLEMENTAR)
403010365;TREPANACAO CRANIANA PARA PROPEDEUTICA OU TERAPEUTICA NEUROCIRURGICA
403010390;DRENAGEM LIQUÓRICA LOMBAR EXTERNA
403020018;ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)
403020026;ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO)
403020042;MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA
403020050;MICRONEUROLISE DE NERVO PERIFERICO
403020069;MICRONEURORRAFIA
403020077;NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS
403020085;NEURORRAFIA
403020107;TRANSPOSICAO DO NERVO CUBITAL
403020115;TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA
403020123;TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO
403020131;TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA
403030013;CRANIOTOMIA PARA BIOPSIA ENCEFALICA
403030021;CRANIOTOMIA PARA  BIOPSIA ENCEFALICA (COM TÉCNICA COMPLEMENTAR)
403030030;CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR
403030048;CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO
403030056;CRANIECTOMIA POR TUMOR OSSEO
403030064;HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
403030080;MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR
403030099;MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR
403030102;MICROCIRURGIA DE TUMOR MEDULAR
403030129;MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO
403030145;MICROCIRURGIA PARA TUMOR INTRACRANIANO
403030153;MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)
403030161;RESSECÇÃO DE TUMOR RAQUIMEDULAR EXTRADURAL
403030170;TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL
403040027;DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS
403040051;MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL
403040060;MICROCIRURGIA PARA  MALFORMAÇÃO ARTERIO-VENOSA CEREBRAL PROFUNDA
403040078;MICROCIRURGIA VASCULAR INTRACRANIANA (COM TÉCNICA COMPLEMENTAR)
403040094;MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM
403040108;MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR (MAIOR QUE 1,5 CM)
403040116;MICROCIRURGIA P/ARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MENOR QUE 1,5 CM
403050030;BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO
403050073;MICROCIRURGIA COM RIZOTOMIA  A CEU ABERTO
403050090;RIZOTOMIA PERCUTANEA COM BALÃO
403050103;RIZOTOMIA PERCUTANEA POR RADIOFREQUENCIA
403050111;SIMPATECTOMIA LOMBAR A CEU ABERTO
403050120;SIMPATECTOMIA LOMBAR VIDEOCIRURGICA
403050138;SIMPATECTOMIA TORACICA A CEU ABERTO
403050146;SIMPATECTOMIA TORACICA VIDEOCIRURGICA
403050154;TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS
403060028;EXPLORAÇÃO DIAGNÓSTICA CIRURGICA PARA IMPLANTAÇÃO UNILATERAL DE ELETRODOS INVASIVOS (INCLUI VIDEO-ELETROENCEFALOGRAMA)
403060036;MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO
403060044;MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATORIO
403060052;MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA
403060060;MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA
403070040;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO ESTREITO
403070058;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO
403070090;EMBOLIZAÇÃO DE FISTULA CAROTIDO-CAVERNOSA COM BALÕES DESTACÁVEIS
403070104;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL
403070112;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL SIMPLES DO SISTEMA NERVOSO CENTRAL
403070120;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL
403070139;EMBOLIZAÇÃO DE TUMOR INTRA-CRANIANO OU DA CABEÇA E PESCOÇO
403070147;TRATAMENTO DE ANEURISMA GIGANTE POR OCLUSÃO DO VASO PORTADOR
403070155;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR QUE 1,5 CM COM COLO ESTREITO 
403070163;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO
403080010;IMPLANTE DE ELETRODO PARA ESTIMULAÇÃO CEREBRAL
403080061;NUCLEOTRACTOMIA TRIGEMINAL E/OU ESPINAL
403080088;TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA
403080100;TROCA DE GERADOR DE PULSOS PARA ESTIMULAÇÃO CEREBRAL
404010016;ADENOIDECTOMIA
404010024;AMIGDALECTOMIA
404010032;AMIGDALECTOMIA C/ ADENOIDECTOMIA
404010059;DRENAGEM DE ABSCESSO FARINGEO
404010067;DRENAGEM DE ABSCESSO PERIAMIGDALIANO
404010105;ESTAPEDECTOMIA
404010113;EXERESE DE PAPILOMA EM LARINGE
404010121;EXERESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOCO
404010130;EXTIRPACAO DE TUMOR DO CAVUM E FARINGE
404010148;IMPLANTE COCLEAR
404010172;LARINGECTOMIA PARCIAL
404010202;LARINGORRAFIA
404010210;MASTOIDECTOMIA RADICAL
404010229;MASTOIDECTOMIA SUBTOTAL
404010237;MICROCIRURGIA OTOLOGICA
404010253;PARACENTESE DO TIMPANO
404010318;RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ
404010326;SINUSOTOMIA BILATERAL
404010334;SINUSOTOMIA ESFENOIDAL
404010342;TAMPONAMENTO NASAL ANTERIOR E/OU POSTERIOR
404010350;TIMPANOPLASTIA (UNI / BILATERAL)
404010377;TRAQUEOSTOMIA
404010385;TRATAMENTO CIRURGICO DE ESTENOSE DO CONDUTO AUDITIVO
404010407;TRATAMENTO CIRURGICO DE RINITE CRONICA (OZENA)
404010415;TURBINECTOMIA
404010431;ARITENOIDECTOMIA COM LARINGOFISSURA
404010466;PAROTIDECTOMIA PARCIAL OU SUBTOTAL
404010482;SEPTOPLASTIA  PARA CORREÇÃO DE DESVIO
404010504;TRATAMENTO CIRÚRGICO DE PERFURAÇÃO DO SEPTO NASAL
404010512;SINUSOTOMIA TRANSMAXILAR
404010520; SEPTOPLASTIA REPARADORA NÂO ESTÉTICA
404020038;CORRECAO CIRURGICA DE FISTULA ORO-NASAL / ORO-SINUSAL
404020046;CORREÇÃO CIRÚRGICA DE FÍSTULA SALIVAR COM RETALHO
404020070;RESSECÇÃO DE GLÂNDULA SALIVAR
404020089;EXCISÃO DE RÂNULA OU FENÔMENO DE RETENÇÃO SALIVAR
404020097;EXCISÃO E SUTURA DE LESÃO NA BOCA
404020119;EXCISÃO PARCIAL DE LÁBIO COM ENXERTO LIVRE / ROTAÇÃO DE RETALHO
404020135;EXPLORAÇÃO/ DESCOMPRESSÃO TOTAL / PARCIAL DO NERVO FACIAL
404020143;GLOSSECTOMIA PARCIAL
404020178;MAXILECTOMIA PARCIAL 
404020186;PAROTIDECTOMIA
404020208;LABIOPLASTIA PARA HIPERTROFIA DO LÁBIO
404020224;RECONSTRUÇÃO TOTAL DE CAVIDADE ORBITÁRIA
404020232;RECONSTRUÇÃO TOTAL OU PARCIAL DE LÁBIO
404020240;RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ
404020275;RESSECÇÃO DE LESÃO MALIGNA E BENIGNA DA REGIÃO CRANIO E BUCOMAXILOFACIAL
404020305;RESSECCAO DO GLOMO JUGULAR
404020313;RETIRADA DE CORPO ESTRANHO DOS OSSOS DA FACE
404020321;RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS
404020330;SEPTOPLASTIA  P/ CORRECAO DE DESVIO
404020348;TRATAMENTO CIRÚRGICO DE ATRESIA NARINÁRIA
404020356;TRATAMENTO CIRÚRGICO DE FÍSTULA E CISTOS ORO-MAXILARES
404020364;TRATAMENTO CIRURGICO DE IMPERFURACAO COANAL (UNI / BILATERAL)
404020380;TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DE OSSOS DA FACE
404020399;TRATAMENTO CIRÚRGICO DE PARALISIA FACIAL (SUSPENSÃO DE HEMIFACE)
404020402;TRATAMENTO CIRURGICO DE PERFURACAO DO SEPTO NASAL
404020429;TRATAMENTO CIRÚRGICO DO SOALHO DA ÓRBITA
404020453;OSTEOTOMIA DA MAXILA
404020461;OSTEOTOMIA DA MANDIBULA
404020470; RECONSTRUÇÃO DO SULCO GENGIVO-LABIAL
404020488;OSTEOTOMIA DAS FRATURAS ALVEOLO-DENTÁRIAS
404020496;OSTEOSSÍNTESE DE FRATURA UNILATERAL DO CÔNDILO MANDIBULAR
404020500;OSTEOSSÍNTESE DA FRATURA COMPLEXA DA MANDÍBULA 
404020518;OSTEOSSÍNTESE DE FRATURA COMPLEXA DA MAXILA
404020526;OSTEOSSINTESE DE FRATURA DO COMPLEXO ÓRBITO-ZIGOMÁTICO-MAXILAR
404020534;OSTEOSSÍNTESE DE FRATURA DO COMPLEXO NASO-ÓRBITO-ETMOIDAL
404020542; REDUÇÃO CIRÚRGICA DE FRATURA DOS OSSOS PRÓPRIOS DO NARIZ
404020550;OSTEOSSÍNTESE DE FRATURA SIMPLES DE MANDÍBULA
404020569;ARTROPLASTIA DA ARTICULAÇÃO TÊMPORO-MANDIBULAR (RECIDIVANTE OU NÃO)
404020577;REDUÇÃO DE FRATURA ALVEOLO-DENTÁRIA SEM OSTEOSSÍNTESE
404020585;REDUÇÃO DE FRATURA DA MAXILA - LE FORT I SEM OSTEOSSÍNTESE. 
404020593;REDUÇÃO DE FRATURA DA MAXILA  - LE FORT II, SEM OSTEOSSÍNTESE
404020607;REDUÇÃO DE FRATURA DA MANDÍBULA SEM OSTEOSSINTESE. 
404020640;TRATAMENTO CIRÚRGICO DE ANQUILOSE DA ARTICULAÇÃO TÊMPORO-MANDIBULAR
404020658;TRATAMENTO CIRÚRGICO DE OSTEOMA, ODONTOMA /OUTRAS LESÕES ESPECIFICADAS
404020666;TRATAMENTO CIRÚRGICO DE FRATURA DO OSSO ZIGOMATICO SEM OSTEOSSÍNTESE
404020690;OSTEOTOMIA CRÂNIO-FACIAL
404020704;OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO
404020739;RECONSTRUÇÃO PARCIAL DE MANDÍBULA / MAXILA
404020771;RESSECÇÃO DE LESÃO DA BOCA
404020780;RECONSTRUÇÃO TOTAL DE MANDÍBULA/MAXILA
404030017;ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL
404030033;OSTEOTOMIA DE MAXILA EM PACIENTES COM ANOMALIA CRANIO  E BUCOMAXILOFACIAL
404030041;MICROCIRURGIA OTOLÓGICA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030050;OSTEOTOMIA DA MANDÍBULA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030068;OSTEOPLASTIA DO MENTO COM OU SEM IMPLANTE ALOPLÁSTICO
404030076;LABIOPLASTIA UNILATERAL EM DOIS TEMPOS 
404030084;ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRÂNIOFACIAL 
404030106;PALATOPLASTIA PRIMÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030122;LABIOPLASTIA SECUNDÁRIA EM PACIENTE COM  ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030130;RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030157;RECONSTRUÇÃO TOTAL DE LÁBIO EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030165; RINOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL 
404030173;SEPTOPLASTIA EM PACIENTE  COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030181;SINUSOTOMIA TRANSMAXILAR
404030190;TIMPANOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL (UNI / BILATERAL)
404030246;TRATAMENTO CIRÚRGICO DE FÍSTULA ORO-SINUSAL EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030262;PALATOPLASTIA SECUNDÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL 
404030270;TRATAMENTO CIRÚRGICO DA INSUFICIÊNCIA VELOFARÍNGEA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030289;TRATAMENTO CIRÚRGICO REPARADOR DA FISSURA FACIAL RARA EM PACIENTES COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030300;REMODELAÇÃO CRANIOFACIAL EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
404030327;OSTEOPLASTIA  FRONTO - ORBITAL
405010010;CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO
405010036;DACRIOCISTORRINOSTOMIA
405010079;EXERESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS
405010087;EXTIRPACAO DE GLANDULA LACRIMAL
405010117;RECONSTITUICAO DE CANAL LACRIMAL
405010125;RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA
405010133;RECONSTITUICAO TOTAL DE PALPEBRA
405010150;SONDAGEM DE CANAL LACRIMAL SOB ANESTESIA GERAL
405010176;SUTURA DE PALPEBRAS
405020015;CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS)
405020023;CORRECAO CIRURGICA DO ESTRABISMO (ATE 2 MUSCULOS)
405030029;BIOPSIA DE TUMOR INTRA OCULAR
405030070;RETINOPEXIA C/ INTROFLEXAO ESCLERAL
405030096;SUTURA DE ESCLERA
405030134;VITRECTOMIA ANTERIOR
405030142;VITRECTOMIA POSTERIOR
405030169;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO E ENDOLASER
405030177;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER
405030185;TERMOTERAPIA TRANSPUPILAR
405040059;DESCOMPRESSAO DE ORBITA
405040067;ENUCLEACAO DE GLOBO OCULAR
405040075;EVISCERACAO DE GLOBO OCULAR
405040083;EXENTERACAO DE ORBITA
405040091;EXERESE DE TUMOR MALIGNO INTRA-OCULAR
405040105;EXPLANTE DE LENTE INTRA OCULAR
405040148;ORBITOTOMIA
405040156;RECONSTITUICAO DE CAVIDADE ORBITÁRIA
405040164;RECONSTITUICAO DE PAREDE DA ORBITA
405040202;TRATAMENTO DE PTOSE PALPEBRAL
405040210;REPOSICIONAMENTO DE LENTE INTRAOCULAR
405050011;CAPSULECTOMIA POSTERIOR CIRURGICA
405050046;CICLOCRIOCOAGULACAO / DIATERMIA
405050097;FACECTOMIA C/ IMPLANTE DE LENTE INTRA-OCULAR
405050100;FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR
405050119;FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR RIGIDA
405050135;IMPLANTE DE PROTESE ANTI-GLAUCOMATOSA
405050143;IMPLANTE INTRA-ESTROMAL
405050151;IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO
405050216;RECOBRIMENTO CONJUNTIVAL
405050224;RECONSTITUICAO DE FORNIX CONJUNTIVAL
405050232;RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO
405050313;TOPOPLASTIA DO TRANSPLANTE
405050321;TRABECULECTOMIA
405050356;TRATAMENTO CIRURGICO DE GLAUCOMA CONGENITO
405050372;FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL
405050380;CIRURGIA DE CATARATA CONGÊNITA
405050399;TRATAMENTO CIRÚRGICO DE DEISCÊNCIA DE SUTURA DE CÓRNEA
406010021;ABERTURA DE ESTENOSE AORTICA VALVAR
406010048;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES
406010056;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO ESQUERDO
406010064;ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL
406010072;ANASTOMOSE CAVO-PULMONAR TOTAL
406010099;BANDAGEM DA ARTERIA PULMONAR
406010102;CARDIORRAFIA
